num,dateGMT,timeGMT,unixTime,lat,lon
103,20190816,122213,1565925733,37.44694,126.99523
104,20190816,122220,1565925740,37.446875,126.995273333333
105,20190816,122238,1565925758,37.44689,126.995368333333
106,20190816,122313,1565925793,37.446798333333,126.995345
107,20190816,122315,1565925795,37.446728333333,126.99537
108,20190816,122317,1565925797,37.44662,126.99543
109,20190816,122319,1565925799,37.446493333333,126.995506666667
110,20190816,122320,1565925800,37.446416666667,126.995548333333
111,20190816,122321,1565925801,37.446333333333,126.995596666667
112,20190816,122322,1565925802,37.446243333333,126.995645
113,20190816,122323,1565925803,37.446146666667,126.995698333333
114,20190816,122324,1565925804,37.446046666667,126.99575
115,20190816,122325,1565925805,37.44594,126.995801666667
116,20190816,122326,1565925806,37.445828333333,126.99586
117,20190816,122327,1565925807,37.445711666667,126.995913333333
118,20190816,122328,1565925808,37.44559,126.995975
119,20190816,122329,1565925809,37.445458333333,126.996045
120,20190816,122330,1565925810,37.44532,126.996131666667
121,20190816,122331,1565925811,37.44518,126.996225
122,20190816,122332,1565925812,37.445038333333,126.996321666667
123,20190816,122333,1565925813,37.444886666667,126.996415
124,20190816,122334,1565925814,37.444733333333,126.99651
125,20190816,122335,1565925815,37.444575,126.996611666667
126,20190816,122336,1565925816,37.444416666667,126.996726666667
127,20190816,122337,1565925817,37.444248333333,126.996821666667
128,20190816,122338,1565925818,37.444076666667,126.996921666667
129,20190816,122339,1565925819,37.44389,126.997005
130,20190816,122340,1565925820,37.443713333333,126.9971
131,20190816,122341,1565925821,37.443533333333,126.9972
132,20190816,122342,1565925822,37.44334,126.997291666667
133,20190816,122343,1565925823,37.443138333333,126.997393333333
134,20190816,122344,1565925824,37.442946666667,126.997505
135,20190816,122345,1565925825,37.442763333333,126.997638333333
136,20190816,122346,1565925826,37.442568333333,126.99776
137,20190816,122347,1565925827,37.442383333333,126.997868333333
138,20190816,122348,1565925828,37.442211666667,126.997985
139,20190816,122349,1565925829,37.442035,126.998085
140,20190816,122350,1565925830,37.441845,126.998193333333
141,20190816,122351,1565925831,37.441661666667,126.998311666667
142,20190816,122352,1565925832,37.441478333333,126.998426666667
143,20190816,122353,1565925833,37.441303333333,126.998543333333
144,20190816,122354,1565925834,37.441121666667,126.998646666667
145,20190816,122355,1565925835,37.440926666667,126.998756666667
146,20190816,122356,1565925836,37.440735,126.998863333333
147,20190816,122357,1565925837,37.440535,126.998955
148,20190816,122358,1565925838,37.440356666667,126.999065
149,20190816,122359,1565925839,37.440175,126.99917
150,20190816,122400,1565925840,37.439991666667,126.99927
151,20190816,122401,1565925841,37.439816666667,126.999386666667
152,20190816,122402,1565925842,37.439621666667,126.99948
153,20190816,122403,1565925843,37.439445,126.999595
154,20190816,122404,1565925844,37.439275,126.999701666667
155,20190816,122405,1565925845,37.439108333333,126.999805
156,20190816,122406,1565925846,37.438943333333,126.999903333333
157,20190816,122407,1565925847,37.438778333333,127.000003333333
158,20190816,122408,1565925848,37.438601666667,127.000095
159,20190816,122409,1565925849,37.438418333333,127.000185
160,20190816,122410,1565925850,37.43823,127.000275
161,20190816,122411,1565925851,37.438041666667,127.000376666667
162,20190816,122412,1565925852,37.437856666667,127.00048
163,20190816,122413,1565925853,37.437663333333,127.00058
164,20190816,122414,1565925854,37.437456666667,127.000683333333
165,20190816,122415,1565925855,37.437246666667,127.00079
166,20190816,122416,1565925856,37.437038333333,127.000893333333
167,20190816,122417,1565925857,37.436835,127.000996666667
168,20190816,122418,1565925858,37.436643333333,127.0011
169,20190816,122419,1565925859,37.436446666667,127.001195
170,20190816,122420,1565925860,37.436251666667,127.00129
171,20190816,122421,1565925861,37.436066666667,127.001393333333
172,20190816,122422,1565925862,37.43589,127.001498333333
173,20190816,122423,1565925863,37.43571,127.001595
174,20190816,122424,1565925864,37.435531666667,127.001691666667
